Title,Note,URL,Tags,Comment
,,,,
Kosta,Gil guykin ,https://www.google.com/maps/place/Kosta/data=!4m2!3m1!1s0x14a1bd3cc9e3e383:0x64034facda0ebdcd,,
Eugenia Restaurant,Gil gutting,https://www.google.com/maps/place/Eugenia+Restaurant/data=!4m2!3m1!1s0x14a1bdf349a141e7:0xb913844bc508d4de,,
MIRONI Greek Restaurant,Roy zuckerman,https://www.google.com/maps/place/MIRONI+Greek+Restaurant/data=!4m2!3m1!1s0x14a1bd269d878795:0xd2e12b82e54f59e6,,
Diporto,דורון אמר שהיה מאוד מאוד טעים,https://www.google.com/maps/place/Diporto/data=!4m2!3m1!1s0x14a1bd24e9616e5b:0x5841a6222a13396a,,
Bougatsadiko Psirri,שואו של בצק?,https://www.google.com/maps/place/Bougatsadiko+Psirri/data=!4m2!3m1!1s0x14a1bd237471ba19:0x3a19b676d60197c0,,
Karamanlidika,כתבה במאקו למרבה ההפתעה,https://www.google.com/maps/place/Karamanlidika/data=!4m2!3m1!1s0x14a1bd2491533def:0x53427c892f9c3c25,,
