Title,Note,URL,Tags,Comment
,,,,
Darfur restaurant in Tel Aviv,,https://www.google.com/maps/place/Darfur+restaurant+in+Tel+Aviv/data=!4m2!3m1!1s0x151d4b64790e64a7:0x92a5db983995b964,,
Sudanese Restaurant,,https://www.google.com/maps/place/Sudanese+Restaurant/data=!4m2!3m1!1s0x151d4bbdc169e25f:0x3e101c9fce553263,,
Gorkha Kitchen,דעות מעורבות על כמה מעניין,https://www.google.com/maps/place/Gorkha+Kitchen/data=!4m2!3m1!1s0x151d4bae01352591:0x81a9122b759a0dcd,,
Bao Buns,עדיף בקבוצה כי רוב המנות עם ירק יחיד דומיננטי,https://www.google.com/maps/place/Bao+Buns/data=!4m2!3m1!1s0x151d4b647089cbcb:0x7328711474757516,,
Nepali Pasal,גיל גוטקין,https://www.google.com/maps/place/Nepali+Pasal/data=!4m2!3m1!1s0x151d4b29199a1863:0xdca74818eda74314,,
Everest Sekuwa Corner (एभरेष्ट सेकुवा कर्नर),"""נפאלי פשוט ונחמד""",https://www.google.com/maps/place/Everest+Sekuwa+Corner+(%E0%A4%8F%E0%A4%AD%E0%A4%B0%E0%A5%87%E0%A4%B7%E0%A5%8D%E0%A4%9F+%E0%A4%B8%E0%A5%87%E0%A4%95%E0%A5%81%E0%A4%B5%E0%A4%BE+%E0%A4%95%E0%A4%B0%E0%A5%8D%E0%A4%A8%E0%A4%B0)/data=!4m2!3m1!1s0x151d4bf295e80d3b:0x4312c2a4cc665d9b,,
Kainan Ihawan,שיפודיה עמוסה במקומיים,https://www.google.com/maps/place/Kainan+Ihawan/data=!4m2!3m1!1s0x151d39e16c581e2d:0x981558784aa338ce,,
El Mano Asian Restaurant,,https://www.google.com/maps/place/El+Mano+Asian+Restaurant/data=!4m2!3m1!1s0x151d4b456eb738c9:0xa4080e3e94f02b54,,
